ID,Material_transformation_id,Type,Quantity,Condition,Unit
450,41,Solar,0,Wavelength condition,NanoM
451,41,Solar,,Illuminated area condition,M2
452,42,Slurry,,Reactor condition,L
453,42,Film,10 wt% (1.3 mmol-TiO2/g-Nafion),Catalyst set up condition,GM
454,42,Xenon(Xe),990.00,Lamp power condition,W
455,42,Xenon(Xe),,Lamp irradiance condition,W-PER-M2
456,42,,,Temperature condition,DEG_C
457,42,,137.88,Preasure condition,BAR
458,42,,,Space velocity condition,PER-HR
459,42,,5.00,Reaction time condition,HR
460,42,Liquid,0,Reaction medium condition,PH
461,42,UV,315-400(UV-C),Wavelength condition,NanoM
462,42,UV,,Illuminated area condition,M2
463,43,Fixed-bed,,Reactor condition,L
464,43,Powder(Supported),,Catalyst set up condition,GM
465,43,Halogen,250.00,Lamp power condition,W
466,43,Halogen,450.00,Lamp irradiance condition,W-PER-M2
467,43,,20.00,Temperature condition,DEG_C
468,43,,,Preasure condition,BAR
469,43,,,Space velocity condition,PER-HR
470,43,,4.00,Reaction time condition,HR
471,43,Gas,,Reaction medium condition,PH
472,43,Visible,400-780,Wavelength condition,NanoM
473,43,Visible,,Illuminated area condition,M2
474,45,Fixed-bed,,Reactor condition,L
475,45,Powder(Supported),,Catalyst set up condition,GM
476,45,Fluorescent,15.00,Lamp power condition,W
477,45,Fluorescent,,Lamp irradiance condition,W-PER-M2
478,45,,25.00,Temperature condition,DEG_C
479,45,,,Preasure condition,BAR
480,45,,,Space velocity condition,PER-HR
481,45,,5.00,Reaction time condition,HR
482,45,Gas,,Reaction medium condition,PH
483,45,UV,315-400(UV-C),Wavelength condition,NanoM
484,45,UV,,Illuminated area condition,M2
485,46,Fixed-bed,,Reactor condition,L
486,46,Powder(Supported),,Catalyst set up condition,GM
487,46,Fluorescent,15.00,Lamp power condition,W
488,46,Fluorescent,,Lamp irradiance condition,W-PER-M2
489,46,,25.00,Temperature condition,DEG_C
490,46,,,Preasure condition,BAR
491,46,,,Space velocity condition,PER-HR
492,46,,5.00,Reaction time condition,HR
493,46,Gas,,Reaction medium condition,PH
494,46,UV,315-400(UV-C),Wavelength condition,NanoM
495,46,UV,,Illuminated area condition,M2
496,47,Fixed-bed,,Reactor condition,L
497,47,Powder,,Catalyst set up condition,GM
498,47,Fluorescent,15.00,Lamp power condition,W
499,47,Fluorescent,,Lamp irradiance condition,W-PER-M2
500,47,,25.00,Temperature condition,DEG_C
501,47,,,Preasure condition,BAR
502,47,,,Space velocity condition,PER-HR
503,47,,5.00,Reaction time condition,HR
504,47,Gas,,Reaction medium condition,PH
505,47,UV,315-400(UV-C),Wavelength condition,NanoM
506,47,UV,,Illuminated area condition,M2
507,48,Fixed-bed,,Reactor condition,L
508,48,Powder(Supported),,Catalyst set up condition,GM
509,48,Fluorescent,15.00,Lamp power condition,W
510,48,Fluorescent,,Lamp irradiance condition,W-PER-M2
511,48,,25.00,Temperature condition,DEG_C
512,48,,,Preasure condition,BAR
513,48,,,Space velocity condition,PER-HR
514,48,,5.00,Reaction time condition,HR
515,48,Gas,,Reaction medium condition,PH
516,48,UV,315-400(UV-C),Wavelength condition,NanoM
517,48,UV,,Illuminated area condition,M2
518,49,Fixed-bed,,Reactor condition,L
519,49,Powder,,Catalyst set up condition,GM
520,49,Fluorescent,15.00,Lamp power condition,W
521,49,Fluorescent,,Lamp irradiance condition,W-PER-M2
522,49,,25.00,Temperature condition,DEG_C
523,49,,,Preasure condition,BAR
524,49,,,Space velocity condition,PER-HR
525,49,,5.00,Reaction time condition,HR
526,49,Gas,,Reaction medium condition,PH
527,49,UV,315-400(UV-C),Wavelength condition,NanoM
528,49,UV,,Illuminated area condition,M2
529,50,Fixed-bed,,Reactor condition,L
530,50,Powder,,Catalyst set up condition,GM
531,50,Fluorescent,15.00,Lamp power condition,W
532,50,Fluorescent,,Lamp irradiance condition,W-PER-M2
533,50,,25.00,Temperature condition,DEG_C
534,50,,,Preasure condition,BAR
535,50,,,Space velocity condition,PER-HR
536,50,,5.00,Reaction time condition,HR
537,50,Gas,,Reaction medium condition,PH
538,50,UV,315-400(UV-C),Wavelength condition,NanoM
539,50,UV,,Illuminated area condition,M2
540,51,Fixed-bed,,Reactor condition,L
541,51,Powder,,Catalyst set up condition,GM
542,51,Fluorescent,15.00,Lamp power condition,W
543,51,Fluorescent,,Lamp irradiance condition,W-PER-M2
544,51,,25.00,Temperature condition,DEG_C
545,51,,,Preasure condition,BAR
546,51,,,Space velocity condition,PER-HR
547,51,,5.00,Reaction time condition,HR
548,51,Gas,,Reaction medium condition,PH
549,51,UV,315-400(UV-C),Wavelength condition,NanoM
550,51,UV,,Illuminated area condition,M2
551,52,Fixed-bed,,Reactor condition,L
552,52,Powder,,Catalyst set up condition,GM
553,52,Fluorescent,15.00,Lamp power condition,W
554,52,Fluorescent,,Lamp irradiance condition,W-PER-M2
555,52,,25.00,Temperature condition,DEG_C
556,52,,,Preasure condition,BAR
557,52,,,Space velocity condition,PER-HR
558,52,,5.00,Reaction time condition,HR
559,52,Gas,,Reaction medium condition,PH
560,52,UV,315-400(UV-C),Wavelength condition,NanoM
561,52,UV,,Illuminated area condition,M2
562,53,Fixed-bed,,Reactor condition,L
563,53,Powder,,Catalyst set up condition,GM
564,53,Fluorescent,15.00,Lamp power condition,W
565,53,Fluorescent,,Lamp irradiance condition,W-PER-M2
566,53,,25.00,Temperature condition,DEG_C
567,53,,,Preasure condition,BAR
568,53,,,Space velocity condition,PER-HR
569,53,,5.00,Reaction time condition,HR
570,53,Gas,,Reaction medium condition,PH
571,53,UV,315-400(UV-C),Wavelength condition,NanoM
572,53,UV,,Illuminated area condition,M2
573,54,Fixed-bed,,Reactor condition,L
574,54,Powder(Supported),0.025,Catalyst set up condition,GM
575,54,Mercury(Hg),100.00,Lamp power condition,W
576,54,Mercury(Hg),,Lamp irradiance condition,W-PER-M2
577,54,,30.00,Temperature condition,DEG_C
578,54,,,Preasure condition,BAR
579,54,,20.00,Space velocity condition,PER-HR
580,54,,1.33,Reaction time condition,HR
581,54,Gas,,Reaction medium condition,PH
582,54,UV,315-400(UV-C),Wavelength condition,NanoM
583,54,UV,,Illuminated area condition,M2
